,FirstRow,SecondRow,ThirdRow,Original,FirstKeyPhrase,SecondKeyPhrase,KeyEmotion,Number
1212,the possession of,hannah grace the boring of,eric d snider,the possession of hannah grace the boring of eric d snider, , , ,1213
1213,ok i fucking,love simon says but what are,the lyrics about,ok i fucking love simon says but what are the lyrics about, , , ,1214
1214,rubbing coconut,oil all over yourself is,so therapeutic,rubbing coconut oil all over yourself is so therapeutic, , , ,1215
1215,today was tiring,bit worried but this will be,a great year laban,today was tiring bit worried but this will be a great year laban, , , ,1216
1216,seriously the,people who hate on meyers,are low life ass holes,seriously the people who hate on meyers are low life ass holes, , , ,1217
1217,she's pretty and has,a nice body but i don't,really talk to her,she's pretty and has a nice body but i don't really talk to her, , , ,1218
1218,i can finally,see you as fucked up as me,so how do we win,i can finally see you as fucked up as me so how do we win, , , ,1219
1219,wow so i nearly,opened up and told her i,really how i feel,wow so i nearly opened up and told her i really how i feel, , , ,1220
1220,my laptop is not,working and i wanted to,watch a drama sigh,my laptop is not working and i wanted to watch a drama sigh, , , ,1221
1221,baby girl whats your,name let me talk to you let,me buy you a drink,baby girl whats your name let me talk to you let me buy you a drink, , , ,1222
1222,rich black people look,at poor black people the same,way white people do,rich black people look at poor black people the same way white people do, , , ,1223
1223,next year i'm gonna,be elle woods for halloween,you heard it hear first,next year i'm gonna be elle woods for halloween you heard it hear first, , , ,1224
1224,my world is falling,apart and all i can do,is sit back and watch,my world is falling apart and all i can do is sit back and watch, , , ,1225
1225,i'm so tired of,getting sick every time,the weather changes,i'm so tired of getting sick every time the weather changes, , , ,1226
1226,im waking up to,ash and dust i wipe my brow,and i slap my nuts,im waking up to ash and dust i wipe my brow and i slap my nuts, , , ,1227
1227,been waiting for this,day since the beginning of,this term finally,been waiting for this day since the beginning of this term finally, , , ,1228
1228,how am i supposed,to work when charlie brown is,on in the break room,how am i supposed to work when charlie brown is on in the break room, , , ,1229
1229,in hospital right,now just waiting for my dad,to finish his scan,in hospital right now just waiting for my dad to finish his scan, , , ,1230
1230,baby some people,won't choose you that's okay as,long as you choose you,baby some people won't choose you that's okay as long as you choose you, , , ,1231
1231,already tasting,and smelling the victory,it is in the air,already tasting and smelling the victory it is in the air, , , ,1232
1232,my blood is boiling,and i'm shaking because i'm,so fucking pissed off,my blood is boiling and i'm shaking because i'm so fucking pissed off, , , ,1233
1233,you're still picking me,up don't put me back down like,it's nothing to ya,you're still picking me up don't put me back down like it's nothing to ya, , , ,1234
1234,such perfect humans,can't wait to see them for a,second time this year,such perfect humans can't wait to see them for a second time this year, , , ,1235
1235,scary how a few,drinks changes your entire,personality,scary how a few drinks changes your entire personality, , , ,1236
1236,honestly don't want,to get up from my bed fuck,it laptop it is,honestly don't want to get up from my bed fuck it laptop it is, , , ,1237
1237,guys telling me they've,seen me on tinder i don't,even have tinder,guys telling me they've seen me on tinder i don't even have tinder, , , ,1238
1238,almost forgot i,had court today for a punk,ass speeding ticket,almost forgot i had court today for a punk ass speeding ticket, , , ,1239
1239,oh snap lemme get,the kid's tablet and subscribe,and make them watch it,oh snap lemme get the kid's tablet and subscribe and make them watch it, , , ,1240
1240,insert name without,top insert name with his top,all over my feed,insert name without top insert name with his top all over my feed, , , ,1241
1241,i bought some body,wash and stuff for men and i,feel so much better,i bought some body wash and stuff for men and i feel so much better, , , ,1242
1242,why do i always,try bringing bananas with,me when i travel,why do i always try bringing bananas with me when i travel, , , ,1243
1243,someone please invite,me to those breakfast rally,things y'all attend please,someone please invite me to those breakfast rally things y'all attend please, , , ,1244
1244,it actually,boggles my mind how many,times sara has died,it actually boggles my mind how many times sara has died, , , ,1245
1245,the temptation is,so much better at handling,multiple displays,the temptation is so much better at handling multiple displays, , , ,1246
1246,would've came back for,you jus needed time to do,what i had to do,would've came back for you jus needed time to do what i had to do, , , ,1247
1247,molly waiting for,a beef jerky patiently,at the tackle box,molly waiting for a beef jerky patiently at the tackle box, , , ,1248
1248,looking forward to,proudly and confidently,vote blue tomorrow,looking forward to proudly and confidently vote blue tomorrow, , , ,1249
1249,so many pictures,of us looking so sweet yet,none of them are real,so many pictures of us looking so sweet yet none of them are real, , , ,1250
1250,j every time,i hear that song i want to,swallow the barrel,j every time i hear that song i want to swallow the barrel, , , ,1251
1251,sitting here sad as,hell listening to adele,i feel you baby,sitting here sad as hell listening to adele i feel you baby, , , ,1252
1252,whoever thought of,this idea must have been,high on crystal meth,whoever thought of this idea must have been high on crystal meth, , , ,1253
1253,but anyway back,to what i've always said who's,gonna beat my ass,but anyway back to what i've always said who's gonna beat my ass, , , ,1254
1254,she just needs someone,who faithful someone to be,real w her,she just needs someone who faithful someone to be real w her, , , ,1255
1255,reality is,a product of our dreams,decisions actions,reality is a product of our dreams decisions actions, , , ,1256
1256,my body says gym,but my heart says you deserve,that peach mango pie,my body says gym but my heart says you deserve that peach mango pie, , , ,1257
